"","scientificName","agency","project","relyea_order","relyea_site_count","relyea_taxa_FSBI","relyea_sensitivity_score","source","relyea_note"
"249","Claassenia sabulosa","BLM","AIM WW OE","P",44,20,"extremely fine sediment sensitive","Relyea et al. 2012 Table 2",""
"250","Claassenia sabulosa","USFS","PIBO","P",44,20,"extremely fine sediment sensitive","Relyea et al. 2012 Table 2",""
"251","Claassenia sabulosa","BLM","AIM PIBO OE","P",44,20,"extremely fine sediment sensitive","Relyea et al. 2012 Table 2",""
"252","Cladotanytarsus","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"253","Cladotanytarsus","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"254","Cladotanytarsus","USFS","PIBO",NA,NA,NA,NA,NA,NA
"255","Cleptelmis","USFS","PIBO",NA,NA,NA,NA,NA,NA
"256","Cleptelmis addenda","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"257","Cleptelmis addenda","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"258","Cleptelmis addenda","USFS","PIBO",NA,NA,NA,NA,NA,NA
"259","Clinocera","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"260","Clinocera","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"261","Clinocera","USFS","PIBO",NA,NA,NA,NA,NA,NA
"262","Coenagrionidae","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"263","Coenagrionidae","USFS","PIBO",NA,NA,NA,NA,NA,NA
"264","Coleoptera","USFS","PIBO",NA,NA,NA,NA,NA,NA
"265","Collembola","USFS","PIBO",NA,NA,NA,NA,NA,NA
"266","Copepoda","USFS","PIBO",NA,NA,NA,NA,NA,NA
"267","Cordulegaster","USFS","PIBO",NA,NA,NA,NA,NA,NA
"268","Cordulegaster dorsalis","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"269","Cordulegaster dorsalis","USFS","PIBO",NA,NA,NA,NA,NA,NA
"270","Corduliidae","USFS","PIBO",NA,NA,NA,NA,NA,NA
"271","Corisella","USFS","PIBO",NA,NA,NA,NA,NA,NA
"272","Corixidae","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"273","Corixidae","USFS","PIBO",NA,NA,NA,NA,NA,NA
"274","Corynoneura","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"275","Corynoneura","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"276","Corynoneura","USFS","PIBO",NA,NA,NA,NA,NA,NA
"277","Cottidae","USFS","PIBO",NA,NA,NA,NA,NA,NA
"278","Cottus","USFS","PIBO",NA,NA,NA,NA,NA,NA
"279","Crangonyctidae","USFS","PIBO",NA,NA,NA,NA,NA,NA
"280","Crenitis","USFS","PIBO",NA,NA,NA,NA,NA,NA
"281","Cricotopus","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"282","Cricotopus","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"283","Cricotopus","USFS","PIBO",NA,NA,NA,NA,NA,NA
"284","Cricotopus bicinctus group","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"285","Cricotopus bicinctus group","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"286","Cricotopus bicinctus group","USFS","PIBO",NA,NA,NA,NA,NA,NA
"287","Cricotopus nostocicola","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"288","Cricotopus nostocicola","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"289","Cricotopus nostocicola","USFS","PIBO",NA,NA,NA,NA,NA,NA
"290","Cricotopus trifascia group","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"291","Cricotopus trifascia group","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"292","Cricotopus trifascia group","USFS","PIBO",NA,NA,NA,NA,NA,NA
"293","Cryptochia","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"294","Cryptochia","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"295","Cryptochia","USFS","PIBO",NA,NA,NA,NA,NA,NA
"296","Cryptolabis","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"297","Cryptolabis","USFS","PIBO",NA,NA,NA,NA,NA,NA
"298","Cryptotendipes","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"299","Cryptotendipes","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"300","Cryptotendipes","USFS","PIBO",NA,NA,NA,NA,NA,NA
"301","Culex","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"302","Culex","USFS","PIBO",NA,NA,NA,NA,NA,NA
"303","Culicidae","USFS","PIBO",NA,NA,NA,NA,NA,NA
"304","Culicidae","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"305","Culicoides","BLM","AIM PIBO OE",NA,NA,NA,NA,NA,NA
"306","Culicoides","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"307","Culicoides","USFS","PIBO",NA,NA,NA,NA,NA,NA
"308","Culiseta","USFS","PIBO",NA,NA,NA,NA,NA,NA
"309","Culiseta","BLM","AIM WW OE",NA,NA,NA,NA,NA,NA
"310","Culoptila/Protoptila","USFS","PIBO",NA,NA,NA,NA,NA,NA
"311","Cultus","USFS","PIBO","P",70,15,"very fine sediment sensitive","Relyea et al. 2012 Table 2",""
